"vegobjektid";"type_id";"versjonid";"startdato";"sistmodifisert";"Målestasjonsnummer";"Med-retning (fra)";"Mot-retning (fra)";"Kilde";"Registreringsnivå";"Trafikantgruppe";"Status";"Stedsnavn";"Antall kjørefelt";"Sist oppdatert fra NorTraf";"Prosjektreferanse";"Geometri, punkt";"kommune";"fylke";"region";"vegavdeling";"riksvegrute";"kontraktsområde";"vegreferanse";"fylkesnummer";"kommunenummer";"vegkategori";"vegstatus";"vegnummer";"fra hp";"til hp";"fra meter";"til meter";"stedfesting";"geometri";"srid"
"370103187";"482";"4";"2017-06-13";"2018-02-09T15:33:30";"1101392";"Hertvigs pl. X Fv446";"Tastamyrv. X Fv413";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"BJERGSTED";"2";"2017-06-13";;"POINT (-32571.07 6574546.14 27.55)";"Stavanger";"Rogaland";"VEST";"Rogaland";"";"1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Fv411 hp1 m654";"11";"0";"F";"V";"411";"1";"1";"654";;"320223 0.0881333701790979 0.0881333701790979 WITH N/A LEFT";"POINT Z (-32565.16265 6574549.73694 27.24418)";"32633"
"370103564";"482";"4";"2017-06-10";"2018-01-16T15:43:25";"1100323";"MARIERO";"ÅSEN";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"BREIDABLIKKVEIEN";"2";"2017-06-10";;"POINT (-32229.35 6569821.2 38.73)";"Stavanger";"Rogaland";"VEST";"Rogaland";"";"1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Fv393 hp1 m352";"11";"0";"F";"V";"393";"1";"1";"352";;"320184 0.349219805473535 0.349219805473535 WITH N/A RIGHT";"POINT Z (-32231.83575 6569814.65573 38.62715)";"32633"
"370103565";"482";"6";"2017-08-15";"2018-01-16T15:43:25";"1100325";"Hillevåg X Rv44";"Auglendsmyra X Fv393";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"V/KILDEN";"2";"2017-08-15";;"POINT (-31731.99 6571104.67 27.95)";"Stavanger";"Rogaland";"VEST";"Rogaland";"";"1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Fv394 hp1 m195";"11";"0";"F";"V";"394";"1";"1";"195";;"320190 0.11011667303024 0.11011667303024 WITH N/A LEFT";"POINT Z (-31733.61011 6571113.69966 27.53664)";"32633"
"370103917";"482";"3";"2017-04-06";"2017-09-15T11:03:17";"1100001";"SANDNES";"STAVANGER";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"AUGLEND";"4";"2017-04-06";;;"Stavanger";"Rogaland";"VEST";"Rogaland";"RUTE3 2010-2019,RUTE3 2014-2023";"1153 ELEKTRO,1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Ev39 hp8 m960";"11";"0";"E";"V";"39";"8";"8";"960";;"320582 0.666775152774854 0.666775152774854 WITH N/A ";"POINT Z (-33465.24901 6569832.64396 50.18999)";"32633"
"465240215";"482";"2";"2017-04-06";"2017-04-06T04:03:45";"1100042";;"Sømmevågen";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Eikeberget SØ rampe";"1";"2017-04-06";;;"Sola";"Rogaland";"VEST";"Rogaland";"RUTE3 2010-2019,RUTE3 2014-2023";"1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Rv509 hp71 m21041";"11";"0";"R";"V";"509";"71";"71";"21041";;"2303025 0.136062408515181 0.136062408515181 WITH N/A ";"POINT Z (-36088.326 6565998.51658 17.51851)";"32633"
"465240216";"482";"1";"2013-11-11";"2013-11-12T03:01:12";"1100038";"Forus N X E39";"Sømmevågen";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Eikeberget";"2";"2013-11-12";;;"Sola";"Rogaland";"VEST";"Rogaland";"RUTE3 2010-2019,RUTE3 2014-2023";"1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Rv509 hp2 m1824";"11";"0";"R";"V";"509";"2";"2";"1824";;"2303021 0.99781181619256 0.99781181619256 WITH N/A ";"POINT Z (-36129.07391 6566013.57643 12.77007)";"32633"
"465240217";"482";"2";"2017-04-06";"2017-04-06T04:07:24";"1100043";;"Sømmevågen";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Eikeberget SV rampe";"1";"2017-04-06";;;"Sola";"Rogaland";"VEST";"Rogaland";"RUTE3 2010-2019,RUTE3 2014-2023";"1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Rv509 hp71 m32277";"11";"0";"R";"V";"509";"71";"71";"32277";;"2303031 0.88184498545756 0.88184498545756 WITH N/A ";"POINT Z (-36175.74495 6565976.97952 17.84163)";"32633"
"465240218";"482";"2";"2017-04-06";"2017-04-06T04:03:42";"1100039";"Forus N X E39";;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Eikeberget NØ rampe";"1";"2017-04-06";;;"Sola";"Rogaland";"VEST";"Rogaland";"RUTE3 2010-2019,RUTE3 2014-2023";"1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Rv509 hp71 m12309";"11";"0";"R";"V";"509";"71";"71";"12309";;"2303027 0.894566370214032 0.894566370214032 WITH N/A ";"POINT Z (-36104.57932 6566056.28258 18.12458)";"32633"
"465240220";"482";"2";"2017-04-06";"2017-04-06T04:08:56";"1100040";"Eikeberget N rkj";;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Eikeberget NV rampe";"1";"2017-04-06";;;"Sola";"Rogaland";"VEST";"Rogaland";"RUTE3 2010-2019,RUTE3 2014-2023";"1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Rv509 hp71 m23039";"11";"0";"R";"V";"509";"71";"71";"23039";;"2303033 0.159308101985628 0.159308101985628 WITH N/A ";"POINT Z (-36191.48904 6566029.2283 18.01569)";"32633"
"530907136";"482";"5";"2016-10-13";"2016-10-13T04:02:18";"1100060";"Vatnekrossen X Rv13";"Hommeland X Fv508";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Tengesdal";"2";"2016-10-13";;;"Sandnes";"Rogaland";"VEST";"Rogaland";"";"1153 ELEKTRO,1102 HØGSFJORD 2009-2014,1102 Høgsfjord 2015-2020,1153 Sør Rogaland 2018-2023,Kontrollrute 2 - 1102 Høgsfjord";"1100 Fv316 hp1 m13230";"11";"0";"F";"V";"316";"1";"1";"13230";;"320125 0.554232900550872 0.554232900550872 WITH N/A ";"POINT Z (-20271.8389 6560165.10072 165.23894)";"32633"
