Sensor_station_number;longitude;latitude
1100335;58.894468;5.705202
1100089;58.890799;5.713460
1100334;58.892086;5.732690
1101387;58.954791;5.694848
1100079;58.952254;5.711080
1100213;58.961092;5.712251
1100099;58.965347;5.730550
1100094;58.969157;5.747873
1100332;58.969157;5.747873
1100093;58.969157;5.747873
1100009;58.951662;5.734194
1100367;58.959411;5.739376
1100026;58.962041;5.613982
