"vegobjektid";"type_id";"versjonid";"startdato";"sistmodifisert";"Målestasjonsnummer";"Med-retning (fra)";"Mot-retning (fra)";"Kilde";"Registreringsnivå";"Trafikantgruppe";"Status";"Stedsnavn";"Antall kjørefelt";"Sist oppdatert fra NorTraf";"Prosjektreferanse";"Geometri, punkt";"kommune";"fylke";"region";"vegavdeling";"riksvegrute";"kontraktsområde";"vegreferanse";"fylkesnummer";"kommunenummer";"vegkategori";"vegstatus";"vegnummer";"fra hp";"til hp";"fra meter";"til meter";"stedfesting";"geometri";"srid"
"676990337";"482";"6";"2017-04-06";"2017-04-06T04:03:03";"200036";"Gjelleråsen";"Kjeller";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"Kjellerbru sykkel";"1";"2017-04-06";;;"Skedsmo";"Akershus";"ØST";"Akershus";"";"0205 ROMERIKE MIDT 2011-2016,0205 Romerike Midt 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0200 Rg22 hp2 m480";"2";"0";"R";"G";"22";"2";"2";"480";;"1673995 0.308229130704225 0.308229130704225 WITH N/A ";"POINT Z (277112.5914 6655816.59498 112.96778)";"32633"
"678124564";"482";"6";"2017-05-20";"2017-05-20T04:01:33";"1500240";"Volda";"Åmdal";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Rotevatn";"2";"2017-05-20";;;"Volda";"Møre og Romsdal";"MIDT";"Møre og Romsdal";"";"1502 Sunnmøre 2005-2009,1502 Sunnmøre 2009-2014,1500 Ålesund 2014-2019,1538 Indre Romsdal - Tunnelrenhold 2014-2018";"1500 Fv45 hp1 m70";"15";"0";"F";"V";"45";"1";"1";"70";;"249651 0.00843624945821367 0.00843624945821367 WITH N/A ";"POINT Z (36564.88099 6922501.19995 55.92144)";"32633"
"680898084";"482";"2";"2016-06-21";"2018-01-01T01:11:53";"1700707";"Havna";;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"Havnevegen - sykkel";"1";"2016-06-21";;;"Verdal";"Trøndelag";"MIDT";"Trøndelag";"";"1704 Steinkjer 2006-2011,1707 Steinkjer 2011-2016,1707 Steinkjer med tillegg 2011-2016,1707 Steinkjer 2016-2021,1707 Steinkjer med tillegg 2016-2021";"5000 Fg757 hp1 m850";"50";"0";"F";"G";"757";"1";"1";"850";;"1800778 0.0459472914068738 0.0459472914068738 WITH N/A ";"POINT Z (325546.26749 7077873.75283 4.4612)";"32633"
"680898085";"482";"2";"2016-06-24";"2016-06-24T04:02:16";"300170";"Kongshavn";"Sentrum";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"Kong Håkon 5s gate Sykkel";"1";"2016-06-24";;;"Oslo";"Oslo";"ØST";"Oslo";"";"0303 RIKSVEGER OSLO 2016-2021";"0300 Rg162 hp1 m880";"3";"0";"R";"G";"162";"1";"1";"880";;"2555360 0.635936165768348 0.635936165768348 WITH N/A ";"POINT Z (263039.04941 6648531.09889 5.42462)";"32633"
"680898087";"482";"9";"2018-01-03";"2018-01-03T03:01:43";"1500242";"Rotsethorntunnelen";"Ørsta";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Elvadalen";"2";"2018-01-03";;;"Volda";"Møre og Romsdal";"MIDT";"Møre og Romsdal";"RUTE4A 2014-2023";"1502 Sunnmøre 2005-2009,1502 Sunnmøre 2009-2014,1500 Ålesund 2014-2019,1538 Indre Romsdal - Tunnelrenhold 2014-2018";"1500 Ev39 hp3 m11646";"15";"0";"E";"V";"39";"3";"3";"11646";;"249032 0.533852723789042 0.533852723789042 WITH N/A ";"POINT Z (35790.30616 6922217.25832 14.00333)";"32633"
"681320300";"482";"1";"2015-06-23";"2016-05-20T04:02:12";"2000040";"Alta";"Tallvik";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"E6 Alta Vest";"2";"2016-05-20";;;"Alta";"Finnmark";"NORD";"Finnmark";"RUTE8B 2010-2019,RUTE8B 2014-2023";"5006 Vest-Finnmark 2013-2018,2001 ALTA 2017-2022,2011 Alta 2017-2022,2012 Langfjord 2017-2022,2016 Alta Kantklipp - Brøytestikk 2017-2022,2017 Alta Drift og vedlikehold 2017-2022,5006 Vest-Finnmark 2018-2023";"2000 Ev6 hp3 m5080";"20";"0";"E";"V";"6";"3";"3";"5080";;"2413305 0.257785467128028 0.257785467128028 WITH N/A ";"POINT Z (810500.91998 7779881.48645 40.00432)";"32633"
"687500323";"482";"3";"2016-08-18";"2016-08-18T04:02:08";"200039";"Enebakk";"Lillestrøm";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"Fjerdingby sykkel";"1";"2016-08-18";;;"Rælingen";"Akershus";"ØST";"Akershus";"";"0205 ROMERIKE MIDT 2011-2016,0205 Romerike Midt 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0200 Fg120 hp203 m11150";"2";"0";"F";"G";"120";"203";"203";"11150";;"1874734 0.88696635207365 0.88696635207365 WITH N/A ";"POINT Z (280674.56646 6649052.88591 174.88641)";"32633"
"690866683";"482";"3";"2017-09-30";"2018-01-01T00:32:19";"700024";"LARVIK";"STAVERN";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"FRITZØE-VILLA";"2";"2017-09-30";;;"Larvik";"Vestfold";"SØR";"Vestfold";"";"0702 Vestfold syd 2014-2019,0706 Vestfold elektro 2013-2018,0707 Vestfold veglys 2016-2021,0701 Vestfold øst 2019-2025,0706 Vestfold elektro 2018-2023";"0700 Fv301 hp1 m981";"7";"0";"F";"V";"301";"1";"1";"981";;"1175834 0.177686215830619 0.177686215830619 WITH N/A ";"POINT Z (214125.072 6555710.09345 17.63421)";"32633"
"699661917";"482";"3";"2016-11-30";"2016-11-30T03:02:56";"1500145";"Spjelkavik";"Åse";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Moa V.";"2";"2016-11-30";;;"Ålesund";"Møre og Romsdal";"MIDT";"Møre og Romsdal";"RUTE6D 2010-2019,RUTE6D 2014-2023";"1502 Sunnmøre 2005-2009,1502 Sunnmøre 2009-2014,1500 Ålesund 2014-2019,1538 Indre Romsdal - Tunnelrenhold 2014-2018";"1500 Ev136 hp9 m397";"15";"0";"E";"V";"136";"9";"9";"397";;"248948 0.0283542545565664 0.0283542545565664 WITH N/A ";"POINT Z (54607.12725 6955920.8392 51.31118)";"32633"
"702258456";"482";"3";"2016-08-06";"2016-08-06T04:02:23";"102004";"KARLSHUS";;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"ST.HANSFJELLET SYKKEL";"1";"2016-08-06";;;"Fredrikstad";"Østfold";"ØST";"Østfold";"RUTE1 2014-2023";"0103 Østfold sør 2016-2021";"0100 Rv110 hp4 m1053";"1";"0";"R";"V";"110";"4";"4";"1053";;"971803 0.615225790108872 0.615225790108872 WITH N/A ";"POINT Z (268020.02789 6571518.03679 10.80878)";"32633"
