"vegobjektid";"type_id";"versjonid";"startdato";"sistmodifisert";"Målestasjonsnummer";"Med-retning (fra)";"Mot-retning (fra)";"Kilde";"Registreringsnivå";"Trafikantgruppe";"Status";"Stedsnavn";"Antall kjørefelt";"Sist oppdatert fra NorTraf";"Prosjektreferanse";"Geometri, punkt";"kommune";"fylke";"region";"vegavdeling";"riksvegrute";"kontraktsområde";"vegreferanse";"fylkesnummer";"kommunenummer";"vegkategori";"vegstatus";"vegnummer";"fra hp";"til hp";"fra meter";"til meter";"stedfesting";"geometri";"srid"
"370104406";"482";"3";"2015-11-26";"2017-08-30T08:49:49";"300062";"Bryn";;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Nedlagt";"ULVENSPLITTEN E6/03";"1";"2015-11-26";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE1 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp1 m12742";"3";"0";"E";"V";"6";"1";"1";"12742";;"625213 0.6329248123973 0.6329248123973 WITH N/A ";"POINT Z (265740.00988 6650028.90534 94.27407)";"32633"
"457154036";"482";"2";"2014-03-15";"2014-03-15T03:01:36";"300085";"Økernveien";"Risløkka";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Midlertidig ute av drift";"ØKERN V/ALCATEL";"4";"2014-03-15";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Rv163 hp1 m1100";"3";"0";"R";"V";"163";"1";"1";"1100";;"1874702 0.813021052943017 0.813021052943017 WITH N/A ";"POINT Z (266124.39238 6650788.1816 102.16571)";"32633"
"480578701";"482";"2";"2014-03-27";"2016-11-24T10:17:20";"302258";"Sinsen";"Grorud";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"ØKERNTUNNELEN";"3";"2014-03-27";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023";"0310 TUNNELKONTRAKT OSLO 2014-2019,0303 RIKSVEGER OSLO 2016-2021";"0300 Rv163 hp1 m451";"3";"0";"R";"V";"163";"1";"1";"451";;"2312244 0.731664915695841 0.731664915695841 WITH N/A ";"POINT Z (265538.48096 6650971.69092 84.50106)";"32633"
"480578702";"482";"3";"2016-05-03";"2016-05-03T04:01:51";"302257";"Fra Teisen";"Fra Sinsen";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Rv 150 Økern - Sinsen";"6";"2016-05-03";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021";"0300 Rv150 hp1 m1608";"3";"0";"R";"V";"150";"1";"1";"1608";;"2312216 0.318480713649675 0.318480713649675 WITH N/A ";"POINT Z (265386.83544 6651391.32117 70.29563)";"32633"
"594081504";"482";"4";"2016-06-24";"2017-07-05T11:30:24";"300022";"Åsland";"Mortensrud";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Klemetsrud";"5";"2016-06-24";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE1 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp1 m1191";"3";"0";"E";"V";"6";"1";"1";"1191";;"625212 0.123567040287128 0.123567040287128 WITH N/A ";"POINT Z (267073.14187 6639460.95934 133.48782)";"32633"
"596625720";"482";"2";"2015-06-12";"2018-02-01T14:35:58";"300070";"Ullevål";"Smestad";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Nedlagt";"Gaustad";"6";"2015-06-12";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Rv150 hp1 m7780";"3";"0";"R";"V";"150";"1";"1";"7780";;"625405 0.794521462121891 0.794521462121891 WITH N/A ";"POINT Z (260860.33175 6653121.50095 106.409)";"32633"
"596625721";"482";"2";"2015-06-12";"2018-02-01T14:35:58";"300071";"Gaustad";"Smestad";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Nedlagt";"Smestadtunnel";"6";"2015-06-12";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Rv150 hp1 m9560";"3";"0";"R";"V";"150";"1";"1";"9560";;"625405 0.97763386111414 0.97763386111414 WITH N/A ";"POINT Z (259327.52682 6652571.85364 75.10169)";"32633"
"602560723";"482";"5";"2016-11-23";"2018-02-01T14:35:58";"300072";"Gaustad";"Granfoss";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Midlertidig ute av drift";"Smestad Tunnell";"7";"2016-11-23";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Rv150 hp1 m9520";"3";"0";"R";"V";"150";"1";"1";"9520";;"625405 0.973511070536101 0.973511070536101 WITH N/A ";"POINT Z (259362.65277 6652591.38654 77.20388)";"32633"
"605724062";"482";"1";"2014-12-15";"2016-03-04T13:30:32";"300042";;;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Kong Håkon 5s gate";"6";"2015-06-30";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE3 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Rv162 hp1 m830";"3";"0";"R";"V";"162";"1";"1";"830";;"2460301 0.60322499816194 0.60322499816194 WITH N/A ";"POINT Z (263010.3775 6648482.80194 4.30296)";"32633"
"606186793";"482";"2";"2015-07-04";"2016-03-04T13:30:32";"300107";"Kongshavn";"Sentrum";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Kong Håkon 5.s gt Nordgående";"3";"2015-07-04";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE3 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Rv162 hp1 m870";"3";"0";"R";"V";"162";"1";"1";"870";;"2460301 0.712405993304373 0.712405993304373 WITH N/A ";"POINT Z (263025.17053 6648519.14572 4.61274)";"32633"
